ser	ser/organismo
oficina	oficina/laboratório/emprego/locais_de_trabalho/trabalho
fabricação	edificação/construção
deficiência	necessidade/carência/deficiência/carência/quantidade/número
reino	idade/era/época/período/monarquia
magistrado	servidor_público/funcionário/serventuário/juiz/árbitro/adjudicator
lema	locução/provérbio/ditado/idioma/expressão
leitor	comprador/cliente/consumidor/freguês/crítico
gado	bovinos/mamífero_placental/mamífero
explosão	ruído/explosão
excedente	porção/parte/componente/categoria
condecoração	prémio/prémio/prêmio/prêmios/galardão
soma	concepção/idéia/conceito/ideia
regresso	traslado/movimento/deslocamento/vinda/chegada
historiador	erudito/especialista/acadêmico/estudioso
diagnóstico	identificação
contagem	enumeração/conta/contagem
surpresa	alteração/mudança/variação/modificação
senhor	homem
fuga	escape/escapatória/fuga
festa	jantar/acontecimento/festa/recreaçao/diversão
declínio	encosta/ladeira/subida/costa/declives/declive
ajudante	trabalhador
suporte	suporte/encosto/apoio/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/auxílio/socorro/ajuda/assistência
filme	espectáculo/show/bens/produção/produto/papel_fotográfico/objeto/objeto_físico
biografia	crónica/crônica
assentamento	grupo/comunidade
recebimento	saudação
indivíduo	indivíduo/pessoa/alguém/ser_humano/alma/causa/causador/ser/organismo/ser/organismo
prisioneiro	infortunado/desventurado/desafortunado
poema	género_literário/gêneros_literários/gênero_literário
débito	dívida/obrigação
revisor	crítico
retomada	progresso/melhoria
religião	crença/opinião/fé/convicção/virtudes_teologais
inteligência	unidade_administrativa/órgão_público/inteligência/poder/capacidade/talento/habilidade
feminista	cruzado/reformador
júri	comité/comissão/junta/comitê/grupo/comunidade/grupo/comunidade
incremento	processos_físicos
discordância	confronto/recontro/conflito/discórdia/discrepância/discordo/desacordo/discordância
desastre	azar/má_sorte/infortúnio
curador	fiduciário
boato	fofoca/bisbolhetice/bisbilhotice
tráfego	acúmulo/aglomeração/colecção/coleção/comércio/mercantilismo/comercialismo
cabeça	chefe/líder/compreensão/conhecimento/noção/cognição
asilo	asilo/refúgio/hospital/enfermaria
fogo	combustão/crítica/julgamento/criticismo/chaminé/lareira
distância	espaçamento/espaçamento
correios	comunicado/comunicação/uma_comunicação
competição	certame/partida/concurso/competição/torneio/jogo/ação_em_grupo
herdeiro	destinatário
guerrilheiro	guerreiro
finança	gestão/administração
consideração	informação/conhecimento/ideia/amabilidade
cientista	indivíduo/pessoa/alguém/ser_humano/alma
caderno	computador_portátil/livros/livro
telefone	sinal/equipamento_eletrônico
manifestante	cruzado/reformador
interrupção	intervalo_de_tempo/tempo/intervalo
infraestrutura	estrutura/arquitectura/arquitectura_do_computador
habitante	indivíduo/pessoa/alguém/ser_humano/alma
feita	hora
escravo	indivíduo/pessoa/alguém/ser_humano/alma
controvérsia	controvérsia/discordância/querela/discussão/disputa/discórdia/discrepância/discordo/desacordo/discordância
chance	possibilidade/chance
beneficiário	destinatário
anexo	adição/melhoria/adição/melhoria
sus	suíno/porco
sala	quarto/aposento/sala/quarto/aposento/sala
residente	habitante/morador
privilégio	predominância/vantagem/benefício
pedagogia	pedagogia/atividade/ocupação
física	ciências_físicas/ciências_naturais/ciência/ciências_físicas/ciências_naturais/ciência
dano	alteração/mudança/variação/modificação
civilização	sociedade/sociedade
óleo	lipido/lípido/lípidos/lípidos/lipídio/gordura/gorduras_e_óleos_alimentares
sombra	sombra
rei	soberano/suserano/monarca/figurinha/peça_de_xadrez
morador	habitante/morador/indivíduo/pessoa/alguém/ser_humano/alma
lazer	relaxação/repouso/relaxação/repouso
guerreiro	indivíduo/pessoa/alguém/ser_humano/alma
foto	afiguração/imagem/ilustração/figura/desenho/representação
colônia	região_geográfica/região/área_geográfica/grupo/comunidade
boletim	estória/artigo/relato
temor	ansiedade/preocupação/ânsia/emoção/comoção/abalo/sentimento
proletariado	classe_social/classe/estrato
multidão	reunião
balança	instrumentos_de_medida/instrumentos_de_medição/metro/instrumento_de_medida
teórico	intelectual/intelecto
relato	artigo/notícias/notícia/documento/documentação
isolamento	separação
extração	ascendência/origem
baía	massa_de_água/água/corpo_de_água
manual	manual/vade-mécum/vade_mecum/vademecum/livro_de_bolso/vademécum
gesto	gesto/gesto/gestos/mudança
fornecedor	negociante/comerciante/mercador
admissão	reconhecimento
show	atuação
produtos	soma/número/quantidade
munição	munição/munição_de_guerra
líquido	líqüido/fluido
loja	shopping/centros_comerciais/shopping_center
linguagem	linguagem/discurso/idioma/língua/comunicação/mensagem
fé	amizade/crença/opinião/fé/convicção/crença/opinião/fé/convicção/objecto_mental/virtudes_teologais
convidado	visita/visitante
continuação	duração
confirmação	prova/confirmação/evidência
triângulo	polígono/polígono
terminal	equipamento_eletrônico
gente	pessoal/população/povo/gente/pessoal/população/povo/gente/grupo/agrupação/conjunto
aval	garantia/declaração
taxação	imposto
sobrevivência	vida/animação
pedra	cristal/objeto_natural/objeto_natural
oposto	oposição
evidência	argumento/informação/conhecimento
estádio	estrutura/tecido/edifício
apartamento	alojamento/abrigo/casa
restaurante	restaurante/edifício/prédio
omissão	engano/falha/equívoco/erro
insistência	urgência
expedição	industria/comércio/negócio/empresa
prontidão	condição/situação/estado
preços	qualidade/preço/preços
elogio	aplauso/aprovação
cópia	afiguração/imagem/ilustração/figura/desenho/representação
circunscrição	regiões/região
arquiteto	criativo/creador/criador
amparo	proteção/capa
prata	condutor/metal_nobre/moeda
internet	rede_de_computadores/rede_de_computadores/rede
conservação	conservação/preservação
ânimo	ânimo
paixão	objeto/objecto/objetivo/objeto/objecto/objetivo/impressão/emoção/sentimento
metrô	ferrovia/caminho_de_ferro/caminho-de-ferro/caminhos_de_ferro
braço	perna/membro
personagem	creatura_imaginaria/ser_imaginario/creatura_imaginaria/ser_imaginario/caracterização
morro	elevação
harmonia	música/compatibilidade
desfile	romaria/procissão
caçador	trabalhador_especializado
pregação	discurso
ideia	concepção/idéia/conceito/ideia/pensamento/idéia/conceito/opinião/pensamento/idéia/conceito/opinião/cálculo
escassez	deficiência/escassez/carência/falta/ausência/necessidade/carência
dignidade	auto-estima/orgulho
entusiasmo	interesse
distorção	engano/falha/equívoco/erro
caminhão	veículos_motorizados
testemunha	indivíduo/pessoa/alguém/ser_humano/alma
teor	volume
separação	ação_em_grupo
hemisfério	região_geográfica/região/área_geográfica
despedida	partida
coração	figura_de_duas_dimensões/figura_plana/centro/ponto_médio/intuição/premonição/víscera
herança	possessão/propriedade
falha	circunstâncias/sina/sorte/destino/imperfeição/defeito/falha/insucesso
estrela	figura_de_duas_dimensões/figura_plana/estrela/corpo_celeste/astro
desistência	renúncia
anseio	impressão/emoção/sentimento
salto	aumento/crescimento
retardar	ociosidade
raça	grupo/agrupação/conjunto
periferia	áreas_residenciais
lanterna	luz
hotel	hotel/edifício/prédio
convivência	ligação/relação
capa	cobertura/capa/cobertura/capa
tabela	array/ordem
reflexão	ideia/desenho/fotografia/ícone/imagem/figura/ilustração/ícone
frase	excerto/trecho/extrato/passagem
era	idade/tempo/período/escala_de_tempo_geológico/era/época/século/tempo/etapa/período
biblioteca	edifício/prédio
sumário	afirmação/declaração/resumo/sumário/resumo/sumário/resumo/sumário
medicamento	agente/produtos_farmacêuticos/medicamento/remédio/droga_medicinal/medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
matrícula	entrada/ingresso
formato	informação
eletrônica	ciências_físicas/fisica/física/física/ciências_físicas/fisica/física/física
detenção	confinamento
credibilidade	qualidade
cliente	consumidor
site	calculadora/computador
motorista	manipulador/operador/condutor/motorista/conductor/chofer
destruição	final/conclusão/resultado/fim/chegada
alguém	causa/causador/ser/organismo
adulto	indivíduo/pessoa/alguém/ser_humano/alma
vinda	vinda/chegada
perito	especialista/especialista
fita	banda/gravação/gravação
feito	acção/ação/atividade/ato/acontecimento/fato/evento
calendário	estrutura/organização/ordem/sistema
amor	amante/amado/amante/amado/objeto/objecto/objetivo
alistamento	mobilização
laje	bloco
carne	vianda/carne/comida/estrutura_organica/corpo/corpo_humano
animal	ser/organismo
alocação	atribuição
móvel	móvel/mobília/mobiliário
glória	honra/honra/aplauso/aprovação
desconto	diminuição/redução
parceiro	indivíduo/pessoa/alguém/ser_humano/alma
massacre	assassínio/homicídio/assassinato
febre	sintoma
controlador	empresário
cartão	papel/correspondência
arroz	farinhas/cereal
andar	estrutura/tecido/edifício
sacrifício	perda/morte/homicídio/assassinato
rigor	exatidão/precisão/exactidão
produtores	criativo/creador/criador
observação	afirmação/declaração/facto/verdade/observação/percepção
indicador	dedo/dedo_da_mão
gasolina	hidrocarboneto/combustível/material_com_que_se_aquece/carburante
falsidade	falsidade/mentira
estúdio	oficina/laboratório/emprego/locais_de_trabalho/trabalho
cultivo	cultivo
socorro	atividade/ocupação
remédio	agente/produtos_farmacêuticos/medicamento/remédio/droga_medicinal/medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
monarquia	despotismo/autocracia/ditadura
laboratório	oficina/laboratório/emprego/locais_de_trabalho/trabalho
juízo	documento_oficial/negócio_jurídico/ato/ação/feito/acção
diadema	jóias_da_coroa/jóias_da_coroa
crença	objecto_mental
compreensão	tendência/força/influência/característica_psicológica
trimestre	tempo/etapa/período
junção	região/área
colher	talheres/faqueiro/recipiente/contentor/contêiner
cima	região/área
atração	força/espectáculo/show/qualidade
túnel	corredor/viela/galeria/passagem
silêncio	propriedades_acústicas
intervalo	ociosidade
ferimento	machucado/traumatismo/dano/mal/lesão
bebida	líqüido/comida/alimento/nutriente
vocação	ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação
tecido	anatomia/parte_do_corpo/anatomia/parte_do_corpo/artefato/artefato
sol	luz
seqüência	sequência/série
relevo	objeto/objeto_físico
olho	receptor_sensorial
examinador	investigador
comprador	consumidor
subúrbio	áreas_residenciais
status	condição/situação/estado
quota	arrendamento_de_terras/alocação/atribuição
pé	suporte/encosto/apoio/suporte/encosto/apoio
embrião	besta/criatura/ser/bicho/animal
costume	hábito/costume/tradições/costumes/tradição/hábito/emprego/costume/atividade/ocupação
requisito	coisa
paraíso	região/região
painel	estrutura/tecido/edifício/placa/lousa/chapa
fotografia	afiguração/imagem/ilustração/figura/desenho/representação/retrato
contribuinte	pagante/remunerador/financiador
sonho	imaginação/imaginação
precedente	representante/instância/exemplo
mediador	artista
localização	objeto/objeto_físico
lealdade	fidelidade/lealdade
integridade	honestidade/honestidade/condição/situação/estado
guia	chefe/líder/manual/vade-mécum/vade_mecum/vademecum/livro_de_bolso/vademécum/lei/regra/regulamento/norma
graça	humor/graça
dr.	erudito/especialista/acadêmico/estudioso/erudito/especialista/acadêmico/estudioso/médico
corrida	certame/partida/concurso/competição/torneio/jogo
carência	deficiência/escassez/carência/falta/ausência/necessidade/carência/estado/estado/situação/condição/deficiência/carência/quantidade/número
assalariado	trabalhador
areia	solo/terra
acumulação	aumento/acréscimo/crescimento/incremento/acumulação
universo	objeto_natural/objeto_natural
traço	anatomia/parte_do_corpo
roubo	saque/pilhagem/furto/roubo/crime
cor	corante/cor/colorante/tinta/aspecto/aparência/semblante/camada/capa
coincidência	acidente/coincidência/ocorrente/acontecimento/ocorrência
vídeo	gravação/gravação/gravação/gravação
visitante	visita/visitante/turista/viajante
uniforme	vestimenta/roupa/vestido/traje/vestuário
significado	significância/significação/intenção/significado/significância/significação/intenção/significado/mensagem/assunto/tópico/conteúdo
recorde	número
jogador	competidor/contendor
gestor	gerente/administrador
frio	temperatura_do_ar/calor/temperatura/temperatura
feição	propriedade/característica/atributo/predicado
estimativa	afirmação/declaração/cálculo
desacordo	confronto/recontro/conflito
cavalo	peça_de_xadrez/ungulados/equino/equídeo
recepção	festa/saudação/saudação/reconhecimento/broadcast/broadcast
rapidez	condição/situação/estado
noção	concepção/idéia/conceito/ideia/característica_psicológica
moradia	alojamento/abrigo/casa
homicídio	homicídio
domicílio	endereço/alojamento/abrigo/casa
bala	projétil/projéctil/míssil
afinidade	atratividade/atração/conexão/relação
teste	comunicado/comunicação/uma_comunicação/investigação
telefonema	telefonia
tecidos	anatomia/parte_do_corpo
procura	pesquisa/investigação/busca/procurar/buscar/aquisição/gestão_de_compras/compra
menção	anotação/nota/apontamento
matemática	disciplina_cientifica/ciência
loteria	jogo_de_fortuna_e_azar
fortuna	tesouro/fenômeno/fenómeno
comparação	conexão/relação
s	unidades_de_tempo/unidade_de_tempo
milagre	ocorrente/acontecimento/ocorrência/acontecimento/fato/evento
medo	ansiedade/preocupação/ânsia/consternação/temor/medo/terror/consternação/temor/medo/terror/emoção/comoção/abalo/sentimento
dobro	múltiplo
diversidade	heterogeneidade
chinês	meios_de_comunicação/mídia
cantor	músico/instrumentista/instrumentalista/tocador
campeão	concorrente/desafiante/rival/competidor/contendor
apelação	apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
rota	fronteira
pergunta	pergunta/questão/inquérito
panfleto	reclame/publicidade/reclamo/propaganda/anúncio/livro
metropolitano	ferrovia/caminho_de_ferro/caminho-de-ferro/caminhos_de_ferro
memorando	nota
matriz	array/ordem/informação/escritório
infração	crime/ofensa
fantasma	psiquê/alma/ser_sobrenatural/espirito
cuidado	trabalho/tarefa
cotação	afirmação/declaração
conexão	estado/ligação/união/amizade/conhecido/conhecida/amigo/memória/transporte/transferência
assessoramento	proposta
revitalização	progresso/melhoria
retrato	afiguração/imagem/ilustração/figura/desenho/representação/semelhança
plástico	sólido/matéria_sólida/sólida
petição	mensagem/assunto/tópico/conteúdo
patriotismo	lealdade/lealdade
moça	menor/juvenil/jovem/fêmea
intérprete	intérprete/artista
certeza	crença/opinião/fé/convicção
bombeiros	guardião/protetor/defensor/guarda
verso	género_literário/gêneros_literários/gênero_literário
vegetal	hortifruti/hortifruto/ser/organismo
usuário	indivíduo/pessoa/alguém/ser_humano/alma/indivíduo/pessoa/alguém/ser_humano/alma
tamanho	grandeza/número/magnitude/grandeza/número/magnitude
saque	saque/pilhagem
racismo	pré-conceito/viés/preconceito
frei	religioso
escolas	edifício/prédio
currículo	informação
culpa	estado/estado/situação/condição/responsabilidade
vermelho	custo
sorte	estado/fenômeno/fenómeno/fenômeno/fenómeno
reservatório	lago
receio	dúvida/incerteza
raíz	órgão_vegetal/órgão
penalidade	controle_social
palma	árvore
palco	palanque/tribuna/tablado
lógica	princípio
habilidade	habilidade/habilidade/talento/habilidade/meta/técnica/poder/capacidade/talento/habilidade/qualidade
especialidade	habilidade/bem/recurso/virtude/vantagem/propriedade
desenho	desenho/croqui/esboço/afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação
aparato	equipamento/ferramenta
acréscimo	aumento/acréscimo/crescimento/incremento/processos_físicos
absorção	adsorção/sorção
rito	hábito/emprego/costume
laranja	citrino
inscrição	entrada/ingresso
folheto	livro
fabricante	fazedor
escuta	investigação
dissertação	tratado
célula	ser/organismo/ser_vivo
caça	desportos_sangrentos/desporto_sangrento
veterano	militar
variação	alteração/mudança/variação/modificação/ocorrente/acontecimento/ocorrência
segredo	informação
poço	oco/buraco/passagem/buracos_escavados
objeção	atos_da_fala/acto_de_fala
motor	motor/motores
espectro	psiquê/alma/órbita/área/alcance/escopo
equívoco	falha/insucesso
detalhe	facto/verdade
computador	maquinaria/máquina
colapso	colapso/ocorrente/acontecimento/ocorrência
ator	intérprete
aluguel	contrato/acordo
substância	materiais/porção/parte/componente/categoria/matéria/substância/entidade_física
sintoma	evidência
roque	estrutura/tecido/edifício
motivação	estado/estado/situação/condição/característica_psicológica
matrimônio	estado_civil
jurisprudência	acúmulo/aglomeração/colecção/coleção
argumentação	razoamento/raciocinio/argumentação/raciocínio
viúva	mulher
submissão	mensagem/assunto/tópico/conteúdo
satisfação	contentamento/satisfeito/realizado/contente
salão	corredor/passagem
rotina	processo/procedimento
reversão	reorientação
lixo	resíduo/resíduo_sólido/lixo/resíduo/resíduo_sólido/lixo/materiais
elenco	organização/reunião
dona	mulher
coragem	ânimo
contorno	limite/fronteira/fronteiras
consentimento	aplauso/aprovação
combinação	acúmulo/aglomeração/colecção/coleção
coleção	grupo/agrupação/conjunto
aventura	industria/comércio/negócio/empresa/projeto/tarefa
vendedor	negociante/comerciante/mercador
som	sensação/som
mito	estória/conto/história
lote	gleba/terreno/região
incerteza	qualidade
cartel	sindicato/consórcio
assassino	indivíduo/pessoa/alguém/ser_humano/alma
vigário	sacerdote/pastor/pároco/clérigo
tumulto	violência/força
precariedade	qualidade
orientador	superior/autoridade
injúria	desrespeito/comportamento/conduta/maltrato
contraste	oposição
compositor	musico/músico/músico
carnaval	apresentação/exibição
almoço	repasto/refeição
alma	espírito/alma/ser_sobrenatural/espirito/causa/causador/ser/organismo
variável	soma/número/quantidade
normas	padrões/critério
mesada	atribuição
intento	meta/alvo/intenção/objectivo
dividendo	abono/incentivo/bônus
comoção	desordem/bagunça/impressão/emoção/sentimento
cesta	recipiente/contentor/contêiner
resumo	afirmação/declaração/resumo/sumário/resumo/sumário/resumo/sumário
piso	estrutura/tecido/edifício
patrulha	destacamento
mentalidade	atitude
conglomerado	empresas/corporação
confusão	desordem/bagunça/engano/falha/equívoco/erro
catedral	igreja/templo/igrejas
bilhete	carta_pessoal
recenseamento	enumeração/conta/contagem
pressuposto	postulado
ouvinte	pupilo/estudante/aluno
músico	artista/artista
materiais	substância
litígio	procedimento_legal/procedimento_legal
estudioso	intelectual/intelecto
enterro	funeral/enterro/funeral/cerimónia/cerimônia/festa
contraposição	oposição
canto	lugar/comunicação_animal
artifício	obstáculo/desvantagem
sindicatos	organização
relevância	relação/ligação
preconceito	partidarismo/parcialidade
percentagem	proporção
ordenamento	prescrição/normas_jurídicas/norma/regra
menino	descendente/descendência/filho/macho/varão/homem
dedicação	cooperação/colaboração
cronista	erudito/especialista/acadêmico/estudioso
conformidade	cooperação/colaboração
vacância	espaço
tragédia	azar/má_sorte/infortúnio/drama
salvação	segurança
percepção	processo_cognitivo_básico/processo_cognitivo_básico
hábito	hábito/costume/tradições/costumes/tradição/hábito/emprego/costume/atividade/ocupação
grampo	investigação
dicionário	vocabulário
cronograma	lista/listagem/lista_numerada
avó	avó/avós/avô
órbita	rota/caminho/percurso/itinerário/estrada/linha/itinerários/extensão/alcance
roda	máquina/máquina_simples
prolongamento	duração
parâmetro	fator
migração	traslado/movimento/deslocamento
graduado	erudito/especialista/acadêmico/estudioso
censo	enumeração/conta/contagem
alvorada	hora
alegria	emoção/comoção/abalo/sentimento/impressão/emoção/sentimento
votante	cidadão/cidadã
supermercado	mercado/feira/feira/sacolão/supermercado/mercado/mercadinho/mercado/empório/quitanda
provimento	atividade/ocupação
poluição	contaminação
passaporte	documento_oficial/negócio_jurídico
metro	ferrovia/caminho_de_ferro/caminho-de-ferro/caminhos_de_ferro/instrumentos_de_medida/instrumentos_de_medição/metro/instrumento_de_medida
herói	chefe/líder
corredor	desportista/atleta
condutor	materiais/manipulador/operador/condutor/motorista/conductor/chofer
chave	lista/listagem/lista_numerada/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/controle/controlador
atestado	documento/documentação
admiração	afeição
vazio	espaço
torre	estrutura/tecido/edifício
saudação	reconhecimento
resíduo	resíduo/resíduo_sólido/lixo/materiais/porção/parte/componente/categoria
ressentimento	amargura/resentimento/ressentimento/rancor
parada	pausa/intervalo/permanência/romaria/procissão
metodologia	técnica/método/método/metodo/métodos/técnica/método/método/metodo/métodos
instante	instante/minuto/segundo/momento
cavaleiro	turista/viajante
cais	porto
acúmulo	acumulação/acúmulo/aglomeração/colecção/coleção/grupo/agrupação/conjunto
supervisor	orientador/supervisor/superior
subida	formação/formação_geológica
retaliação	retribuição
reprodução	afiguração/imagem/ilustração/figura/desenho/representação/reprodução/cópia
renome	honra/fofoca/bisbolhetice/bisbilhotice
proveito	predominância/vantagem/benefício
grito	vocalização/enunciado/expressão
cerâmica	cerâmica
banquete	jantar/repasto/refeição
alumínio	metais/metais/metal
aids	doenças_infecto-contagiosas/doença_infecciosa/imunodeficiência/imunodeficiência
semente	fruto/fruta
restituição	aquisição/compra
repouso	suspensão/pausa/interrupção/paz/silêncio/quietude
príncipe	patrício/aristocrata/patrício/aristocrata/patrício/aristocrata
fama	honra/fofoca/bisbolhetice/bisbilhotice
cemitério	locação/sítio/lugar
celebração	recreaçao/diversão
camisa	camisa/artigo_de_vestuário/roupa/vestuário
aparição	psiquê/alma
abrigo	segurança/estrutura/tecido/edifício/alojamento/abrigo/casa
terror	consternação/temor/medo/terror/emoção/comoção/abalo/sentimento
ribeira	encosta/ladeira/subida/costa/declives/declive
raiz	órgão_vegetal/órgão/lugar
perdão	mandado/leniência
pensador	intelectual/intelecto
pavilhão	emblema/naipe
ofensa	comportamento/conduta/transgressão
navios	navio
exibição	apresentação/exibição
cirurgião	dr./doutor/médico
chuva	precipitação/precipitação_atmosférica
certificado	documento/documentação
calamidade	azar/má_sorte/infortúnio
abalo	impressão/emoção/sentimento
verão	estação_do_ano/estação/tempo/sazão/período
trem	transporte_público/transportes_públicos/transportes_públicos/transporte_publico
revés	ocorrente/acontecimento/ocorrência
raio	relâmpago/corisco/raio/luz
pão	recurso/fornada
mapa	afiguração/imagem/ilustração/figura/desenho/representação/mapa
fumo	aerossol/neblina/aerossol/aerossóis
frequência	ritmo/velocidade
certidão	documento/documentação
atmosfera	gás/atmosfera/ar/ambiência/estado/estado/situação/condição
ambição	anseio/apetite/pretensão/desejo/disposição
aldeia	municipalidade/município/comunidade
acampamento	locação/sítio/lugar
trincheira	fossa/vala/trincheira
semelhança	semelhança/similardidade
raposa	cão/canídeo/cão/canídeo
pensionista	beneficiário
otimismo	disposição/temperamento
oferecimento	atos_da_fala/acto_de_fala
estacionamento	espaço
disco	placa/círculo
cereal	farinhas/cereal/café_da_manhã/alimento/produtos_alimentares
centavo	divisa/prata/peça/moeda
atleta	competidor/contendor
soberano	governante/governador/chefe_de_estado/chefe_de_estado
roupa	vestimenta/roupa/vestido/traje/vestuário/roupa/traje/vestuário/vestido
procedência	lugar
pintor	artista
montanha	elevação/elevação
mentira	falsidade/mentira/história/falsidade/mentira
jantar	repasto/refeição
grão	partícula/átomo
frustração	deceção/decepção/desapontamento/irritação
caridade	estabelecimento/instituição/instituto/doação
bar	taverna/boteco/taberna/quarto/aposento/sala
abaixo-assinado	mensagem/assunto/tópico/conteúdo
árvore	planta_lenhosa
visto	nome_de_batismo/primeiro_nome/nome_próprio/prenome/nome/antenome
vapor	vapor
tópico	mensagem/assunto/tópico/conteúdo/coisa
roteiro	premissa/pressuposto
retórica	literatura/literatura
requisição	mensagem/assunto/tópico/conteúdo
presa	besta/criatura/ser/bicho/animal
povoado	municipalidade/município/comunidade
placa	estrutura/tecido/edifício/bloco
percurso	fronteira
patriota	súdito/cidadão
passe	sanção/consenso/autorização/aprovação/consentimento
monumento	estrutura/tecido/edifício
metais	elemento_químico/elemento_químico/elemento_químico/elemento_químico
maquinaria	maquinaria/máquina/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
luto	pesar/tristeza
galeria	quarto/aposento/sala
fracassado	infortunado/desventurado/desafortunado
flora	acúmulo/aglomeração/colecção/coleção/ser/organismo
filósofo	erudito/especialista/acadêmico/estudioso
farinha	alimento/produtos_alimentares
depressão	crise/formação/formação_geológica
correlação	reciprocidade
cifra	custo
calçado	calçado/calçados/calçado/calçados
biologia	acúmulo/aglomeração/colecção/coleção
auto	veículos_motorizados
aurora	hora
árbitro	oficial/árbitro
táxi	auto/veículo/carro/automóvel/viatura
sal	aromatizante/condimento/tempero
ritual	hábito/emprego/costume
repetição	pletora/superabundância/excesso/processos_físicos
pânico	consternação/temor/medo/terror
mobiliário	móvel/mobília/mobiliário
merenda	repasto/refeição
maconha	traqueófitos/planta_vascular/cânabis/erva/canabis/canábis/maconha/maconha
lição	ensino/educação/pedagogia
janela	abertura
inclinação	posição/colocação/localização/gradiente/inclinação/talude/declives/inclinação/talude/declives/inclinação
hesitação	hesitação/relutância
gripe	doenças_respiratórias/doenças_respiratórias/doenças_respiratórias/doenças_respiratórias/doenças_respiratórias/doenças_respiratórias
espectador	espectador/observador/indivíduo/pessoa/alguém/ser_humano/alma
ensinamento	atividade/ocupação
dor	mágoa/pesar/tristeza/desgosto/dor/angústia/dor/dor/sensação/impressão/emoção/sentimento/impressão/emoção/sentimento
desculpa	defesa/justificação/reconhecimento
densidade	densidade/densidade
cigarro	rolo_de_tabaco
boca	caminho/acesso/estrada/abordagens
armazenamento	colocação/depósito
verificação	prova/confirmação
rosto	aspecto/aparência/semblante
revoluções	ação_em_grupo
moço	macho/varão/homem/menor/juvenil/jovem
metal	elemento_químico/elemento_químico
locação	gleba/terreno/região/objeto/objeto_físico
lar	alojamento/abrigo/casa
grandeza	propriedade/atributo
feijão	legume/vegetal
entretenimento	recreaçao/diversão
dilema	perplexidade/embaraço/aperto
céu	atmosfera/ar/região
chapéu	chapéu
castigo	controle_social
calabouço	quarto/aposento/sala
velocidade	ritmo/velocidade
reinado	idade/era/época/período/duração/continuidade
ramal	telefone
racha	fenda/vão/abertura
pároco	sacerdote/pastor/pároco/clérigo
pretendente	indivíduo/pessoa/alguém/ser_humano/alma
precipitação	traslado/movimento/deslocamento
planta	ilustração/figura/desenho/imagem/ser/organismo
pista	evidência/indicação/evidência
furna	formação/formação_geológica
fração	número_racional/número_racional
fraqueza	propriedade/atributo
formiga	himenópteros
foguete	veículo/viatura
festival	festa/festividade/celebração
feriado	dia
estupro	abuso_sexual/abuso_sexual
drama	episódio
cela	quarto/aposento/sala/quarto/aposento/sala
barco	embarcações/embarcação/barco/navio/navios/navio
assinante	comprador/cliente/consumidor/freguês
aplauso	aplauso
anatomia	estrutura_organica/corpo/corpo_humano
aeronave	navio
van	camiões/caminhão/camião/camiões
supremacia	ascendencia/controle/dominancia/superioridade/domínio
superioridade	estado/estado/situação/condição
realismo	realidade
premissa	postulado
piedade	misericórdia/compaixão/piedade
perícia	habilidade
motores	motor/motores
intermediária	representante
interação	acção/ação/atividade/ato
humor	emoção/comoção/abalo/sentimento/impressão/emoção/sentimento
fibra	materiais
doador	doador
diversão	recreaçao/diversão
diligência	determinação/resolução
criado	trabalhador
comboio	transporte_público/transportes_públicos/transportes_públicos/transporte_publico
agradecimento	aceitação/reconhecimento
tronco	madeira/órgão_vegetal/órgão/anatomia/parte_do_corpo/anatomia/parte_do_corpo
superfície	limite/fronteira/fronteiras
ruína	declínio/desastre/edifício/prédio
refugiado	expatriado
pasto	prados_naturais/pradaria/prado
narrativa	mensagem/assunto/tópico/conteúdo
granja	oficina/laboratório/emprego/locais_de_trabalho/trabalho/chácara/granja/quinta/sítio/fazenda
franquia	empresa/organização_empresarial
folhas	papel
estrangeira	turista/viajante
escopo	extensão/alcance
empate	final
câmera	equipamento_fotográfico
assédio	bloqueio
abadia	convento/mosteiro/monastério
tumor	tumores
sobra	porção/parte/componente/categoria
selo	selo/aceno/emblema/símbolos/símbolo/sinal/simbolo/selo/símbolo
pano	artefato
olhar	olhar_fixo
nascente	formação/formação_geológica/lugar
moinho	maquinário/máquina/maquinaria
milho	farinhas/cereal
lama	solo/terra/solo/terra/matéria/substância
ilusão	aparência/engano/mal-entendido/desempenho/interpretação/apresentação
gosto	gosto/sabor
flutuação	alteração/mudança/variação/modificação/irregularidade
estatísticas	matemática_aplicada/matemática_aplicada
entorpecente	agente
decênio	tempo/etapa/período
chácara	oficina/laboratório/emprego/locais_de_trabalho/trabalho
brejo	zona_úmida
amador	indivíduo/pessoa/alguém/ser_humano/alma
vigília	security_office/guarda
vidro	sólido/matéria_sólida/sólida
têxteis	artefato
templo	igreja/casadeoração/lugares_de_prática_religiosa/templo/igreja/casadeoração/lugares_de_prática_religiosa/templo
significação	significância/significação/intenção/significado/mensagem/assunto/tópico/conteúdo
sequência	sequência/série
