meloeiro	(fruta)
Biogenese	(geração)
casinha_de_cachorro	(refúgio asilo abrigo)
descer	(baixar atuar vir diminuir minguar agir fazer andar ir caminhar viajar
        cair)
guache	(aquarela)
Mineralogia	(geologia)
Sub-woofer	(Altifalante altifalante alto-falante)
jet_set	(grupo círculo ordem)
arqueopterix	(ave pássaro)
colubrídeos	(Serpentes ofídio serpente cobra cobras)
fototropismo	(Tropismo tropismo)
Tango	(Dance_music)
Propulsão_nuclear	(propulsão)
defrontar	(estar começar)
atormentar	(lesionar lesar machucar ferir desgostar desagradar angustiar doer)
fulgurar	(estar ser)
sedimento	(Solo substância matéria solo terra)
Oxigénio_líquido	(oxigênio oxigénio Oxigenio)
roupa_suja	(vestuário roupa)
dicção	(pronúncia)
Mitologia_Nórdica	(Mitologia mitologia)
pacificar	(tranqüilizar confortar reconfortar aliviar consolar tranquilizar
           acalmar silenciar)
argamassa	(materiais_de_construção Materiais_de_construção)
Grau_académico	(prêmio galardão Prémio Prêmios prémio)
lei_de_Coulomb	(lei)
olhar_de_relance	(enxergar ver olhar)
Anicca	(duração)
transplantar	(introduzir inserir)
consignar	(incumbir encarregar ter_confiança_em confiar comissionar
           confiar_algo_a_alguém entregar)
detritívoro	(animal criatura bicho ser besta)
gamo	(veados cervos cervo cervídeos Cervidae veado)
coro	(companhia música elenco pessoal)
Supermercados	(empório quitanda sacolão mercadinho supermercado mercado feira)
nitrato_de_amônio	(Nitratos nitrato nitratos azotato)
especificidade	(particularidade)
ninguém	(plebeu)
galicismo	(Empréstimo palavra_emprestada empréstimo)
taekwon-do	(artes_marciais)
Imaculada_Conceição	(evangelho credo)
livrar-se_de_	(jogar_fora descartar)
manual	(Obras_de_referência Obra_de_referência livro_de_bolso Vade-mécum
        vademécum Vademecum Vade_mecum)
cessar-fogo	(paz)
gendarme	(polícia agente policial guarda)
escala_Richter	(escala)
caneta_de_feltro	(caneta-tinteiro caneta_esferográfica caneta)
pockmark	(cicatriz)
portadora	(ondas_de_rádio)
couve-de-folhas	(vegetal couve repolho)
Relógios	(relógio relógio_de_pulso)
inglês_estado-unidense	(inglês Lingua_inglesa Língua_Inglesa Língua_inglesa)
retaguarda	(destacamento)
coisa_nova	(originalidade)
ir-se_embora	(partir deixar sair)
contorcionista	(acrobata akrobata)
custar	(estar precisar ser demandar requerer)
cabaça	(botelha garrafa frasco biberão Garrafa)
telefone	(Sinalização_telefônica sinal equipamento_eletrônico)
adaga	(faca coitelo)
boquejar	(conversar)
Ácido_etanoico	(ácido_carboxílico Ácidos_carboxílicos)
pensamento	(idéia ideia perspicácia objecto_mental convicção religião opinião
            crença fé Crenças Crença reflexão consideração)
Gângster	(criminoso fora-de-lei)
luz_monocromática	(pintura)
vinagre	(condimento ácido_acético Ácido_etanóico Ácido_etanoico
         ácido_carboxílico Ácidos_carboxílicos)
ativismo	(política)
caspase	(Protease protease)
ostra	(porção)
superfícieplana	(terras_altas)
vice-chanceler	(administrador)
gato	(gato_doméstico felinos felino felídeos)
ter_presente	(mencionar citar aludir)
caneca	(sino)
analizar	(examinar)
comunicação_de_dados	(comunicação_electrónica)
camareira	(doméstico empregado servidor)
Órbita_geossíncrona	(órbita)
reajustar	(decidir adaptar-se resolver concluir corrigir acertar adequar-se
           ajustar)
espongiários	(invertebrado invertebrados)
Navegação	(ocupação trabalho biscate emprego)
Tubarão_martelo	(Tubarões tubarão)
grades	(casa_de_detenção xilindró prisão cadeia presídio penalty pênalti prisno
        penalidade_máxima xadrez penálti grande_penalidade cárcere cana)
Marchantiophyta	(briófita briófitas)
congolense	(africano)
mundo_real	(realidade mundo)
causar	(criar realizar construir alterar mudar modificar provocar fazer)
operador_de_câmera	(fotógrafo fotógrafa Fotógrafos_da_Suíça)
tag_xml	(rótulo etiqueta)
mitigar	(racionalizar reduzir diminuir explicar justificar perdoar)
palmada	(choque)
convalescer	(melhorar)
desviscerar	(remover retirar tirar)
Design_de_Interiores	(arquitectura arquitetura)
canícula	(período etapa tempo)
fotoquímica	(química Quimica)
Sulfanilamida	(sulfonamida)
bexiga	(bolsa saco carteira sacola)
Eletroíma	(magnete ímã íman)
empresário	(booker capitalista)
travestismo	(hábito costume)
xerocar	(reproduzir)
britar	(arrebentar arrombar)
Lanolina	(creme)
rendimento_(agricultura)	(rendimento)
engenheiro_automotivo	(engenheiro)
acirrar	(acrescentar crescer aumentar)
Pão_de_ló	(Bolos bolo)
brilhar_mais_forte_do_que	(resplandecer luzir brilhar)
gavinha	(parte componentes_das_plantas fragmento)
descolonização	(ação_em_grupo)
halitose	(exalação)
aperrear	(evitar presumir varrer_a_sua_testada evadir esquivar)
eucalipto	(madeira)
alta	(grau)
sonho	(fantasia Imaginação imaginação)
Dinastia_Chou	(Dinastias dinastia)
superego	(foro_íntimo consciência)
equalizador	(acção ação ato feito)
criada_de_quarto	(doméstico empregado servidor)
assinalar	(mostrar denotar sugerir evidenciar sinalizar informar indicar
           apontar)
ordálio	(experiência)
jacintos_de_água	(plantas_aquáticas hidrófita Plantas_aquáticas)
instruir	(acostumar-se treinar intimar impetrar mandar ordenar habituar-se
          habituar ensinar lecionar informar)
besoiro	(insecto insetos hemípteros inseto Insectos)
físico-química	(química Quimica)
ômega	(conclusão fim resultado chegada)
baleia-piloto	(delfim Delphinidae boto golfinho)
rénio	(metal Metais metais)
Prêmios	(símbolo Simbolo Símbolos aceno emblema sinal)
induzir_em_tentação	(desafiar incitar concitar provocar estimular)
esperar_um_pouco	(suspender aguardar esperar interromper)
Estupa	(santário relicário Santuários santuário)
ciúme	(ciumes inveja)
Programa_de_Computador	(programa software)
anglo	(europeu)
nadir	(adversidade)
chassis	(montagem)
dividir_em_quatro	(dividir)
Yellow_cake	(composto_químico Compostos_químicos substância_química
             Composto_químico)
Gefilte_Fish	(prato)
prosperar	(tornar revoltar-se revoltar)
antipsicótico	(barbitúrico calmante)
fazer_besteira	(fracassar quebrar_a_cara falhar malograr)
Rubeola	(Sarâmpo sarampo)
berlinde	(bola)
Microssegundo	(unidade_de_tempo Unidades_de_tempo)
folgar	(deslocar atuar mover agir fazer)
desperdício	(imprevidência ocupação atividade)
magia	(interpretação apresentação)
Musselina	(pano têxteis fazenda tecido tecido_têxtil)
cinofobia	(zoofobia)
empenar	(torcer)
estela	(monumentos monumento)
interacção	(interação)
ataque_cardíaco	(Insuficiência_cardíaca insuficiência_cardíaca ataque)
oxigênio	(gás elemento_químico)
neoliberalismo	(liberalismo Liberalismo)
tendência	(curso afeição rumo direcção direção atributo atitude)
Particula_Alfa	(Partícula_subatômica partícula Partícula_subatómica
                partículas_sólidas partículas)
Slivovitz	(brandy cachaça pinga parati conhaque aguardente)
cateter	(cano canal duto ducto chaminés_de_fábrica condutas conduto tubo
         pipeline cachimbo canais)
Eclipse_Lunar	(ocultação eclipse)
Q.I.	(proporção razão Taxa)
Estomato	(abertura)
Fulminatos	(sal sais)
zê	(caracter letra caractér carácter)
maria-rapaz	(moça garota rapariga mulher senhorita)
crache	(acidente azar)
demorar-se	(parar)
Grego	(línguas_indo-europeias Línguas_indo-européias)
mexerico	(tolice insensatez disparate besteira)
escala_de_Richter	(escala)
duto_arterioso	(Vaso_sangüíneo Vaso_sanguíneo vaso_sanguíneo)
virar_uma_esquina	(virar-se virar)
Campsis	(Bignoniaceae)
porque	(causa razão motivo)
ponderação	(reflexão consideração)
atadura	(_curativo)
tanatologia	(ciência)
Airedale_terrier	(Terrier Terriers)
Matéria_da_bretanha	(apólogo lenda)
exemplo	(repreensão ocorrência evento acontecimento conhecimento informação)
periférico	(equipamento_eletrônico)
violência	(turbulência hostilidade agressão intensidade)
estuário	(massa_de_água oceano água Corpos_de_água corpo_de_água)
oologista	(fazedor)
pularcorda	(corda toa)
Hexose	(Monossacarídeo oligossacarídeo Monossacarídeos)
sulfato_de_magnésio	(sulfato sulfatos Sulfatos)
carolina	(árvore)
glomerulonefrite	(nefrite)
Educação_fisica	(instrução educação)
vanglória	(vaidade)
georgiano	(russo)
autômato	(máquina mecanismo)
viscondessa	(par)
frente_de_onda	(superfície)
matéria-prima	(materiais)
Jack	(tripulante marujo marinheiro)
homem_livre	(cidadã cidadão)
sentir	(lamentar perceber_ encontrar perceber experimentar reganhar achar ver
        descobrir detectar aperceber entender aperceber-se comprender
        compreender)
patronímico	(antenome nome nome_próprio nome_de_batismo primeiro_nome prenome)
maquilar	(cuidar-se)
Ultrassom	(Tomografia)
xamanismo	(religião Crença_religiosa fé)
delegado	(representante polícia agente policial guarda)
esperanto	(língua_artificial linguagem_artificial)
Diretor_de_Cinema	(Produtor_cinematográfico cineasta Produtores_de_cinema)
formatação	(informação)
cutelo	(faca)
Dólar_Americano	(Dólar dólar)
corinto	(fruta_seca)
hemo	(pigmento Pigmentos)
necrosar	(apodrecer)
calor_de_fusão	(calor_latente)
privatizar	(alterar mudar modificar)
Iridescência	(brilhância brilho luminosidade)
fazer_sexo	(copular acasalar)
gozação	(recreaçao diversão)
abaca	(maconha cânhamo)
Suna	(caminho)
inauguração	(cerimónia iniciação começo festa cerimônia início)
bagunça	(desordem Estado condição estado situação)
margear	(abeirar beirar limitar bordejar)
adversidade	(infortúnio má_sorte azar acidente)
obviar	(obstar evitar estorvar impedir impossibilitar proibir)
Morfologia	(ciências_da_vida gramática Gramática Gramatica biologia)
Festa_móvel	(festividade)
Jurisprudencia	(Direito_civil direito_romano-germânico direito_civil)
envenenar_algo	(torcer)
intoxicação	(enfermidade nausea doença enjoo)
Blasfêmia	(profanação Palavrão Palavra_de_baixo_calão Palavras_de_baixo_calão
           Palavra_de_baixo-calão)
nadar_peito	(nadar)
nacionalismo	(doutrina_(direito) doutrina filosofia lealdade)
fulminato	(sal sais)
Topologia	(matemática_pura)
armênia	(alfabeto)
vendedor	(comerciante assalariado empregado operário mercador negociante)
aparelho_de_telefone	(telefone)
gravar	(impressionar imprimir registrar comover afetar registar)
inocular	(propagar)
out	(mês_no_calendário_gregoriano)
Sobrancelha	(Pêlo Pelos pelo pêlo cabelo)
Músculo_intercostal	(músculo_esquelético)
água_mineral	(Água_potável água_potável)
mais_alerta	(servente ajudante servidor assistente adjunto criado)
osso_longo	(osso)
dia_do_juízo_final	(dia)
rufo	(som ruído)
durar	(sustentar medir alongar prolongar)
cópia	(duplicata duplicação figura ilustração desenho imagem afiguração
       representação repetição teste reprodução)
Resorcina	(fenóis)
acrobata	(esporte Ginastas ginasta Desportistas atleta)
facilitação	(auxílio ajuda assistência socorro)
rocha_ígnea	(rocha pedra)
Citrato	(sal sais Ésteres éster)
goiabeira	(pomares Árvore_frutífera)
Banshee	(alma espírito fantasma)
águia-pesqueira	(Gavião acípitre gavião)
valor	(volume handicap medida número quantidade quantia magnitude atributos
       qualidade benefício lucro utilidade vantagem)
pastilha_elástica	(chicla chiclete goma_de_mascar chuinga)
manganésio	(metal Metais metais)
abc	(princípio fundamentos)
reservatório	(lago)
Charles_hard_townes	(físico)
bitola	(distância Instrumento_de_medida metro instrumentos_de_medição
        Instrumentos_de_medida)
Obesidade	(corpulência obesidade excesso_de_peso)
alargamento	(ilustração fotografia_(imagem) figura imagem retrato desenho
             fotografia foto)
Lipograma	(texto)
escritura_pública	(negócio_jurídico)
domingo	(feriado)
Isoniazida	(Bactericida)
undécimo	(classe hierarquia posição posto)
culhão	(Gônada Gónada)
taxa_de_juros	(tarifa)
geosfera	(estrato camada)
Fragaria_chiloensis	(morangueiro morango)
Gêneros_literários	(estilo língua discurso linguagem)
agrimônia	(erva maconha)
impressora_por_linha	(impressor tipógrafo impressora)
embriões	(animal criatura bicho ser besta)
poluição	(contaminação impureza)
Países_da_América_do_Norte	(terra nação país)
volver	(virar-se virar)
ralar	(esfregar empenhar verbalizar trabalhar falar dizer conversar proferir
       esforçar empenhar-se_em tentar esforçar-se perseguir
       dar-se_ao_trabalho_de)
danação	(denúncia)
Pinus_serotina	(pinheiro)
ataque	(ocupação vez ofensa atividade jogo manobra operação criticismo crime
        julgamento)
abcesso	(sintoma)
vietnamita	(asiático Línguas_mon-khmer línguas_mon-khmer asiática asiano)
electricidade	(energia)
ácido_fosfórico	(oxiácido)
tremedeira	(terror consternação temor medo susto)
techno	(Dance_music)
Lógica_matemática	(lógica)
orleanista	(Realistas)
liderar_a_torcida	(inspirar incentivar)
mesotelioma	(carcinoma)
pagamento	(mercantilismo comercialismo comércio preço custo gastos custos)
motivar	(provocar causar fazer)
Fosforo	(elemento_químico)
carpete	(tapete mobiliário móvel mobília)
pouquinho	(tempo época período momento era)
coluna	(edifício filaúnica forma_geométrica artigo array formato forma ordem
        artigos tecido estrutura umapósooutro)
sibilar	(verbalizar fazer ressoar soar falar dizer conversar proferir)
Boliche	(jogo)
hipersensibilidade	(sensibilidade)
1_de_julho	(feriado_nacional)
corrente_metálica	(coleira colar)
travão	(restrição limitação)
procura	(buscar ocupação atividade procurar aquisição compra gestão_de_compras)
Panico	(ansiedade angústia)
Travão	(restrição limitação)
olvidar	(perder)
Quark	(queijo)
sobrepovoar	(povoar viver morar habitar)
caroço	(epicarpo)
drenagem	(evacuação)
Ária	(canção cantiga)
vias_respiratórias	(trato)
distinção	(atributos discordância qualidade diferença)
mar_territorial	(massa_de_água oceano água Corpos_de_água corpo_de_água)
assemelhar-se_a	(combinar concordar corresponder)
estrábico	(alma indivíduo ser_humano alguém pessoa)
dissimulação	(adulteração falsificação)
instanciar	(achar representar ver descobrir detectar)
cálice	(xícara taça)
croquete	(prato)
cristobalita	(minérios matéria_mineral minerais mineral)
Ρ	(caracter letra caractér carácter)
jóquei	(ginete joquei cavaleiro)
CFO	(executivo)
paneleiro	(pacote penca feixe molho fardo)
Produção_gráfica	(Escrita escrita documentos)
galantear	(atuar agir fazer)
pandemia	(epidemia Epidemias epidemias)
paúis	(zona_úmida)
fronte	(posição local lugar)
orangerie	(plantio viveirodeplantas plantação estufa plantel viveiro)
balão_de_ar_quente	(aeróstato balão)
Tonalidade	(Notacao_musical notação_musical Notação_musical)
anaconda	(jibóia)
cruzamento	(estádio junção)
catedrático	(professor_universitário professor acadêmico)
Octogono	(polígono)
viscose	(raiom)
índice	(tabela lista_numerada lista listagem fato)
aquilégia	(flor)
catecismo	(interrogatório livro)
dragar	(remover retirar tirar)
americano	(morador habitante)
ecologia_humana	(Sociologia sociologia)
desaparecer	(desabar escapar mexer esvair mover deslocar fugir evadir-se sumir
             minguar diminuir decrescer finalizar terminar encerrar parar
             acabar cessar)
processamento_de_dados	(ciência processamento)
executivo	(administrador diretor_executivo liderança responsável cabeça líder
           chefe)
apiedar-se	(magoar afligir-se sofrer)
confidenciar	(divulgar revelar descerrar)
serial_killer	(homicida assassina assassino)
recuar	(mexer mover deslocar andar ir caminhar viajar)
pau_duro	(Excitação)
acariciar	(colocar agarrar_firmemente agarrar_com_firmeza abraçar botar
           carregar pôr afagar)
cárcere	(casa_de_detenção grades xilindró prisão cadeia presídio penalty
         pênalti prisno penalidade_máxima xadrez penálti grande_penalidade cana)
track_to_track_seek_time	(tempo_de_posicionamento tempo_de_busca)
Doença_de_graves	(exoftalmia tireotoxicose hipertireoidismo hipertiroidismo
                  doença_auto-imune)
empuxo	(tendência)
tutor	(professor guardião protetor defensor guarda mestre instrutor docente)
fusão_do_núcleo	(reação_nuclear reacções_nucleares reacção_nuclear)
Gadolinio	(metal Metais metais)
offset	(Produção_gráfica impressão)
piscar	(cintilar agir_reflexivamente agir_involuntariamente)
Tungstatos	(sal sais)
ulceração	(processos_biológicos lesão)
esgrimir	(debater-se lutar brigar)
Aquedutos	(ducto aqueduto duto canal conduto)
fanático	(entusiasta advogado representante defensor proponente xiita)
Inuit	(pele_vermelha índia indígena índio)
Ruta	(erva)
armazenamento	(retenção operação_informática colocação depósito)
hino_nacional	(hino)
originar	(provir provocar criar realizar construir causar originar-se surgir)
monturo	(locação lugar sítio)
conectivo_de_Sheffer	(Porta_lógica)
neomicina	(antiséptico Antissépticos antisséptico Antibiotico antibióticos
           antibiótico Antibióticos)
correr	(competir andar atuar concorrer atravessar mexer agir fazer manar fluir
        mover deslocar ir caminhar viajar passar acelerar apressar-se
        despachar-se apressar)
talha	(arte belas_artes)
derrube_por_acção_do_vento	(fruta)
Basic	(linguagem_de_programação)
calça	(vestuário cuecas ceroulas calças roupa)
anta	(ungulados Perissodáctilos)
giz	(Instrumentos_de_escrita)
Cálice	(xícara taça)
Cabeleireiro	(frisador cabeleireiro cabeleireira)
Eclesiologia	(teologia)
Granularidade	(rugosidade)
barbatana	(calçado perna membro sapato)
martelo	(ferramenta)
murro	(porrada golpe)
Estudio	(trabalho laboratório locais_de_trabalho oficina emprego)
Ogiva	(substâncias_explosivas explosivo)
Ângulo_visual	(Ângulos ângulo)
competitividade	(agressividade)
homozigoto	(zigoto)
operador_de_rádio	(operador manipulador)
grossura	(consistência dimensão magnitude amplidão extensão viscosidade)
proletário	(plebeu)
governador_geral	(governador)
em_espécie	(dinheiro moeda divisa cobre)
alegorizar	(entender compreender)
Metodólogia	(método métodos metodo Método técnica)
pronome_demonstrativo	(pronome)
cata-vento	(foguete_pirotécnico aparelho_mecânico fogo_de_artifício foguete)
cesariana	(parto)
mensagem	(comunicação abstração entidade_abstrata idéia_abstrata)
candelabros	(candelabro castiçal)
albúmen	(produtos_alimentares ingrediente)
polme	(mistura)
Magnólia_branca	(magnólia)
amor	(concupiscência objecto abalo comoção cio Eros sentimento emoção impressão
      afeição apego amado amante objeto objetivo)
desdenhar	(detestar mostrar desprezar menosprezar odiar expressar)
ágape	(afeição jantar repasto refeição amor)
requentar	(reaproveitar reciclar reutilizar reprocessar reusar)
rameira	(mulher)
áreas	(alcance extensão)
marcenaria	(arte ofício profissão)
açafrão-bastardo	(erva maconha)
algema	(restrição limitação grilhão cadeia)
escola	(prédio comunidade edifício instituto colégio grupo
        estabelecimentos_de_ensino)
Espectrograma	(ilustração fotografia_(imagem) figura imagem retrato desenho
               fotografia foto)
água-morta	(maré_alta preamar)
flúor	(Halogénio halogênio gás elemento_químico)
Artes_Cénicas	(ciências_humanas Artes_Liberais artes_liberais)
concentração_de_massas	(população)
bioquímica	(química_orgânica)
grama	(campo terreno campos erva ervas gramíneas gramínea)
documentação_de_software	(programa software)
texugo	(estado-unidense norte-americano mustelídeos)
comer	(preocupar elidir copular acasalar inquietar tomar consumir)
homilia	(pregação prédica sermão)
entretenimento	(recreaçao diversão)
miosite	(inflamação)
arminianismo	(Protestantismo protestantismo)
Alter-ego	(camarada amigo conhecido amiga amizade)
Texugo_europeu	(texugo)
esterilização_(biologia)	(limpada limpeza)
falar_mal	(reclamar lamentar)
Judeu_errante	(judia hebraica hebreu hebreia judeu hebraico)
resentimento	(aversão ressentimento repulsa inimizade hostilidade)
rotular	(anexar designar denominar unir juntar declarar julgar)
montão_de_feno	(montão pilha)
Solução_de_fehling	(solução soluto Soluto)
Adn_polimerase	(polimerase)
Peixe-pulmonado-australiano	(espécie_ameaçada espécies_em_vias_de_extinção)
quimiotaxia	(taxia)
máquina_de_somar	(calculador computador calculista Calculadoras calculadora)
ensacar	(roubar encaixotar furtar)
Neurotoxina	(toxinas Toxinas toxina)
acólito	(tocador Ordem clérigo sacerdote pároco pastor instrumentista
         instrumentalista músico)
expatriado	(ausente quem_está_ausente absentista)
incinerador	(fornalhas fornalha forno fogão)
campanha	(corrida empreendimento_de_risco manobra operação terra chão solo
          relevo relevo_(geografia) terra_firme)
chilrear	(emitir soltar)
alfavaca	(erva maconha)
partícula_elementar	(Partícula_subatômica partícula Partícula_subatómica
                     partículas_sólidas partículas)
Bu-Shi-Do	(escrita_secreta código_secreto código Codificação_jurídica códigos)
maio	(mês_no_calendário_gregoriano)
turco	(Línguas_turcomanas guindaste guincho línguas_turcomanas)
música_programática	(Composição_Musical Composição_musical)
romper	(separar_se dividir separar separar-se partir)
incendiário	(criminoso fora-de-lei)
infecção	(mensagem incidente evento comunicação)
categoria_gramatical	(grupo classe família categoria)
acidose_respiratória	(acidose Acidose acidosis)
cânhamo	(arbustos arbusto moita mato arvoreta)
Tectona	(árvore)
Gabinete_dos_Estados_Unidos	(ministério)
envigorar	(excitar animar energizar estimular)
vasculite	(inflamação)
monóculo	(lente Lentes)
descontentar	(desagradar)
proscrição	(rejeição)
bioma	(comunidade)
Υ	(caracter letra caractér carácter)
Regras_de_etiqueta	(regra normas_jurídicas prescrição norma)
soluço	(reflexo Reflexos sintoma)
recive	(cume aresta)
drogar_(se)	(tomar consumir)
conjuntivite	(inflamação)
tridente	(lança)
alegria	(humor abalo comoção prazer felicidade espírito _estado_emocional
         sentimento emoção impressão)
matrícula	(admissão entrada ingresso acolhida acolhimento)
Década_de_1950	(decênio década)
desenrascanço	(emancipação)
arco_e_flecha	(arma armamento)
oxidantes/redução	(reação_química Reações_químicas reacções_químicas
                   Reação_Química)
engendrar	(desenhar provocar esboçar projetar criar realizar construir causar)
recasar	(esposar juntar casar casar-se)
Urso_cinzento	(urso-pardo)
sigmatismo	(Distúrbio_da_fala)
Dinheiro_Circulante	(finanças dinheiro fundos)
radiômetro	(contador metro)
repassar	(embarcar enviar despachar transportar expedir trazer)
Sistema_de_coordenadas_cartesiano	(Sistema_de_coordenadas
                                   Sistemas_de_coordenadas
                                   sistemas_de_coordenadas)
Guandu	(ervilha ervilheira)
indicadores	(ferramenta aparelho aparato mecanismo instrumento dispositivo
             equipamento)
mago	(bruxo bruxa ocultista)
turba	(multidão montão reunião)
Arqueologia	(antropologia Antropologia)
digital	(erva maconha)
estar_inclinado_a	(estar ser)
Alho_porró	(legume verdura hortaliça vegetal)
jornalista	(comunicador autor escritor)
passatempo	(entreterimento jogo recreaçao diversão)
depósito_de_lixo	(locação lugar sítio)
fazer_um_brainstorm	(raciocínar refletir pensar)
Imperio	(maçã)
Graxa	(óleo)
pássaro	(vertebrado)
fóton	(Bóson_de_calibre)
órgão	(instituição_pública Instrumentos_com_teclas Instrumento_eletrônico
       publicação_periódica Governo agência_governamental agência escritório
       parte componentes_das_plantas fragmento Anatomia parte_do_corpo
       instrumento_de_teclas Instrumentos_de_sopro instrumento_de_sopro
       Instrumentos_eletrônicos jornal revista periódico)
Imposto_sobre_o_valor_acrescentado	(impostos_indirectos imposto_de_consumo
                                    impostos_sobre_o_consumo)
guerra	(luta conflito inimizade hostilidade batalha combate)
Nucleosídeos	(glicosídeo Glicosídeo)
protelação	(conclusão termino)
esqualor	(sujeira)
cápsula_de_Bowman	(membrana)
estande	(lojas bancas banca loja)
mesa	(alimento alfaia mobiliário movéis mobília móvel dieta)
desistir	(optar render-se dispensar escolher preferir aceitar acordar concordar
          consentir aprovar)
Laço	(gravata)
transmissão	(coeficiente uma_comunicação comunicação comunicado marcha
             engrenagem)
nausear	(repelir)
téssera	(ladrilho)
chouriço	(gatuno lingüiça salsicha Enchidos ladra ladrão)
Filovirus	(classe família)
Sete_Maravilhas_do_Mundo_Antigo	(monumento monumentos)
tarrafa	(falcão)
poder_executivo	(organização administração)
prosciutto	(toucinho presunto pernil)
percentagem	(proporção)
estoicismo	(Teorias_filosóficas)
ramerrão	(procedimento processo)
Eudyptes	(pinguim)
ficheiro_só_de_leitura	(ficheiro_do_computador)
Satélite_de_comunicação	(Satélites satélite_artificial satélites satélite)
Pinguim-africano	(pinguim)
pênfigo	(doença_auto-imune)
Nsa	(Inteligência_dos_Estados_Unidos Inteligência_dos_Estados_Unidos_da_América)
citar_novamente	(fazer executar desempenhar)
sobrinha-neta	(sobrinha sobrinho)
homenagem	(reverência respeito)
oxidar-se	(oxidar)
objeto_fixo	(produto utensílio artefato)
conciliar	(compatibilizar harmonizar concordar acordar ajustar corrigir acertar)
Cognac	(brandy cachaça pinga parati conhaque aguardente)
cordados	(animal criatura bicho ser besta filo Filo)
ordenação	(organização)
liceu	(centro_de_convenções hall)
taxa_de_mortalidade	(velocidade ritmo)
níveis_de_sódio_baixos_no_sangue	(sintoma)
Hidromel	(fermentação)
acoplar	(reunir unir ligar juntar)
mediador	(artista)
revolucionário	(radical)
carroceria	(edifício tecido estrutura)
finalidade	(objectivo intenção meta alvo)
terpeno	(Hidrocarbonetos hidrocarboneto hidrocarbonetos)
citar_mal	(citar)
pio	(trinado gorjeio chilro)
_intuição	(intuição)
condomínio	(casa abrigo alojamento)
espadas	(cefaleia dor dor_de_cabeça)
astrócito	(Célula_da_glia Células_da_glia Neuróglia)
sessenta_e_nove	(sexo_oral)
produção_em_massa	(produção)
produtos_farmacêuticos	(droga_medicional droga_medicinal sonífero medicamento
                        narcótico entorpecente remédio droga agente)
albanesa	(europeu)
monarca	(chefe_de_Estado governador governante)
lençol_freático	(formação_geológica formação)
florete	(Espadas gládio espada)
paration	(Insecticidas insecticidas inseticida)
desamolar	(alterar mudar modificar)
contos_de_fadas	(história mentira conto mentirinha)
remela	(emissão)
traça	(lepidópteros)
Agar-agar	(resina)
Igreja_Ortodoxa_Grega	(Igreja_Ortodoxa Igreja_ortodoxa)
colecistectomia	(ablação extirpação)
reemitir	(suprir fornecer distribuir)
vibora	(cobras cobra serpente ofídio víbora Serpentes)
losna	(Licores licor)
copatrocinar	(patrocinar fiar)
dessorção	(atividade)
Alimentação	(ingestão)
esfarrapar	(dividir cindir rasgar)
hemofilia_A	(hemofilia)
Biologia_Molecular	(ciências_da_vida biologia)
Lince_pardo	(lince suçuarana)
Pauropoda	(espécies classe)
borda	(reta forma_redonda fronteiras fronteira aba margem limite
       margem_interior)
descartar	(jogar_fora reconhecer rejeitar livrar confessar admitir)
nadar_cachorrinho	(nadar)
Oligarquia	(Regimes_políticos)
línguas_esquimó-aleútes	(língua_natural linguagem Lingua_natural idioma
                         linguagem_natural língua Língua_Natural)
pormenorizar	(examinar expor analizar elaborar elocubrar expandir)
clorato_de_sódio	(sal sais)
borrifo	(ruído)
perfeição	(melhoramento melhoria condição estado situação)
zero_absoluto	(temperatura calor Temperatura temperatura_do_ar)
oxiacetileno	(Misturas_químicas solução mistura)
comandante	(militar líder chefe)
Food_and_drug_administration	(instituição_pública Governo agência_governamental
                              agência escritório)
carvalho-vermelho	(árvore)
trasladar	(deslocar mover)
resplandecer	(refletir luzir)
guarnecer_de_armação	(dispor arranjar)
Saccharomyces_cerevisiae	(levedura fermento)
Princípio_de_Le_Chatelier	(regra princípio)
Locomotivas_eléctricas	(locomotivas locomotiva máquina)
Desportistas	(contendor)
Ordenação	(designação nomeação)
viola_da_gamba	(viola)
postura	(afetação ação_de_afectar fingimento ação_de_fingir posição atitude)
carmim	(rubra vermelhidão vermelho rubro escarlate encarnado)
navegar	(andar procurar buscar viajar)
gente	(grupos_sociais conjunto agrupação grupo povo pessoas população)
terra	(elemento_químico ligação solos conector divisão_administrativa
       divisão_territorial distrito_administrativo chão solo relevo
       relevo_(geografia) terra_firme região regiões objeto_físico objeto)
Óleos_essenciais	(óleo)
homicídio_doloso	(homicídio)
queda_livre	(queda)
enteado	(filho menino criança filha)
Veias	(vaso_sanguíneo Vaso_sanguíneo Vaso_sangüíneo)
halo	(fenômeno_atmosférico luminosidade)
germinar	(crescer)
Margrave	(Lorde nobre)
Crípton	(gás_nobre Gas_nobre elemento_químico)
hoax	(astúcia artimanha)
termos_mais_específicos	(verbo palavra termo vocábulo)
Câmeras	(equipamento_televisivo)
socialista	(político)
teaser	(abertura)
acidose	(doença patologia)
Língua_aleúte	(Línguas_esquimo-aleútes Línguas_esquimó-aleútes
               línguas_esquimó-aleútes)
cardiograma	(grafo gráfico)
Circumnavegação	(travessia viagem)
festim	(cartucho pente Cartucho)
célula_beta	(célula)
esférula	(bola esfera orbe)
reimprimir	(reproduzir)
prenome	(unidade_linguística unidade_da_linguagem apelido Nome antenome nome
         nome_próprio nome_de_batismo primeiro_nome)
inquietude	(ânsia ansiedade preocupação)
grega	(europeu)
metido	(ninguém)
